CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,43,118,74
2,Female,43,135,3
3,Male,34,59,8
4,Male,48,148,82
5,Male,36,113,2
6,Female,61,27,74
7,Male,37,71,84
8,Male,40,87,94
9,Male,42,97,7
10,Female,45,99,89
11,Male,54,26,14
12,Male,29,111,74
13,Male,65,79,14
14,Male,18,63,33
15,Female,19,141,73
16,Male,27,146,19
17,Female,51,42,21
18,Female,49,64,54
19,Female,42,26,60
20,Male,27,97,31
21,Female,67,32,3
22,Male,18,121,68
23,Female,49,125,32
24,Female,54,125,47
25,Female,29,148,51
26,Female,66,82,77
27,Female,68,90,82
28,Female,35,37,74
29,Female,47,54,17
30,Female,30,112,24
31,Male,20,62,83
32,Male,38,106,52
33,Female,59,71,63
34,Female,31,43,33
35,Female,57,104,6
36,Male,27,138,54
37,Female,19,112,52
38,Male,62,22,98
39,Male,54,107,40
40,Male,28,121,49
41,Male,18,118,36
42,Male,43,106,19
43,Female,59,101,36
44,Female,30,107,1
45,Female,45,98,43
46,Female,53,95,77
47,Female,38,53,25
48,Male,27,47,76
49,Female,29,92,29
50,Female,63,45,91
51,Male,44,35,90
52,Female,20,142,72
53,Male,45,148,24
54,Female,19,104,20
55,Male,45,72,47
56,Female,68,46,84
57,Female,48,73,65
58,Male,60,117,88
59,Male,38,95,57
60,Male,24,75,24
61,Male,67,54,87
62,Male,48,96,61
63,Male,31,127,98
64,Male,56,103,73
65,Male,56,26,96
66,Female,26,121,60
67,Female,40,23,3
68,Male,29,103,97
69,Female,46,125,77
70,Female,55,63,9
71,Female,56,28,1
72,Female,39,147,13
73,Male,21,140,21
74,Female,65,62,75
75,Male,24,71,37
76,Female,57,107,77
77,Female,25,74,34
78,Female,69,95,65
79,Male,52,57,53
80,Female,26,96,69
81,Male,68,105,19
82,Female,30,78,85
83,Male,56,16,96
84,Female,37,15,59
85,Male,38,132,5
86,Male,64,78,4
87,Female,36,86,64
88,Male,19,99,98
89,Female,61,38,63
90,Female,57,144,66
91,Female,47,73,59
92,Female,40,116,68
93,Female,57,70,23
94,Female,30,128,79
95,Female,50,19,35
96,Female,49,123,54
97,Female,45,138,66
98,Female,41,133,93
99,Female,59,50,78
100,Male,45,86,86
101,Male,47,108,63
102,Female,58,99,23
103,Female,46,66,51
104,Female,51,146,24
105,Female,68,25,20
106,Female,39,119,30
107,Female,42,140,83
108,Female,31,127,67
109,Female,27,44,98
110,Male,27,137,12
111,Female,25,102,34
112,Male,31,39,5
113,Female,62,44,47
114,Female,55,88,7
115,Male,49,138,79
116,Female,62,87,58
117,Male,49,126,53
118,Female,20,19,89
119,Female,37,90,82
120,Male,30,34,88
121,Female,40,114,88
122,Male,36,39,95
123,Female,33,124,10
124,Male,53,141,4
125,Male,52,83,62
126,Female,64,105,71
127,Female,64,16,54
128,Male,67,42,90
129,Female,24,58,69
130,Female,69,99,94
131,Female,54,57,67
132,Male,25,69,64
133,Male,42,138,72
134,Male,40,78,51
135,Male,27,131,20
136,Male,47,26,32
137,Male,50,55,17
138,Male,28,58,38
139,Male,52,25,88
140,Male,44,33,57
141,Female,20,139,25
142,Male,64,74,54
143,Female,66,135,40
144,Female,67,28,75
145,Female,25,78,90
146,Male,30,144,9
147,Male,59,109,4
148,Male,20,26,24
149,Male,37,72,12
150,Female,63,108,41
151,Male,62,56,96
152,Male,52,15,7
153,Male,30,120,48
154,Male,37,86,23
155,Male,41,52,80
156,Female,26,90,4
157,Male,47,66,60
158,Female,42,125,66
159,Male,33,94,97
160,Female,25,98,54
161,Male,61,122,45
162,Male,45,112,56
163,Female,29,100,15
164,Female,68,76,46
165,Female,41,17,19
166,Male,66,95,59
167,Female,46,140,92
168,Male,32,105,27
169,Male,35,117,88
170,Female,24,124,55
171,Female,30,109,55
172,Male,36,45,86
173,Male,65,72,58
174,Female,60,57,51
175,Female,22,97,29
176,Female,43,141,56
177,Male,19,59,95
178,Male,50,24,38
179,Male,65,88,63
180,Male,54,106,99
181,Male,42,26,62
182,Male,42,32,61
183,Female,56,42,51
184,Male,47,28,86
185,Male,58,22,39
186,Male,21,114,84
187,Female,36,17,81
188,Male,44,61,87
189,Male,69,77,84
190,Female,64,91,54
191,Male,56,100,36
192,Male,41,135,19
193,Male,67,27,68
194,Male,54,148,23
195,Male,42,74,75
196,Female,46,89,61
197,Female,48,30,1
198,Female,62,99,3
199,Male,52,69,48
200,Male,45,92,83
201,Male,55,69,71
202,Female,61,23,47
203,Male,67,20,17
204,Male,67,116,10
205,Female,21,38,62
206,Male,45,65,36
207,Female,69,31,38
208,Female,48,35,41
209,Female,40,97,43
210,Male,31,76,71
211,Male,45,105,73
212,Male,31,131,62
213,Male,18,89,93
214,Male,60,131,57
215,Male,49,68,22
216,Male,58,135,37
217,Female,35,135,30
218,Male,22,67,33
219,Female,59,54,22
220,Male,32,23,42
221,Male,59,90,16
222,Male,33,90,56
223,Female,53,144,67
224,Female,53,84,46
225,Female,57,18,74
226,Female,47,75,17
227,Male,55,140,75
228,Female,40,50,92
229,Male,28,55,17
230,Male,42,117,97
231,Female,62,96,94
232,Female,68,62,87
233,Female,60,111,6
234,Female,19,39,49
235,Female,52,18,17
236,Female,64,32,64
237,Female,41,134,77
238,Female,30,111,19
239,Male,59,98,63
240,Female,54,87,18
241,Female,47,79,33
242,Male,28,125,2
243,Female,40,41,63
244,Male,63,102,89
245,Male,45,64,23
246,Female,46,123,75
247,Male,69,103,5
248,Male,32,145,16
249,Male,62,100,11
250,Male,20,118,68
251,Female,26,124,29
252,Male,25,134,9
253,Female,64,102,18
254,Male,50,70,18
255,Male,51,104,57
256,Male,26,52,38
257,Male,34,119,27
258,Female,58,37,70
259,Female,18,97,100
260,Male,57,102,91
261,Male,22,67,75
262,Female,47,18,58
263,Male,28,119,38
264,Male,45,35,9
265,Male,55,68,77
266,Female,34,140,18
267,Female,67,123,82
268,Female,40,66,65
269,Male,35,58,93
270,Male,54,121,87
271,Female,44,127,37
272,Female,42,148,32
273,Female,22,105,54
274,Female,36,105,27
275,Male,44,43,18
276,Female,30,71,48
277,Male,24,69,56
278,Female,43,85,80
279,Male,31,67,38
280,Female,44,28,53
281,Female,25,35,89
282,Female,48,118,59
283,Female,52,28,63
284,Male,44,67,48
285,Female,21,129,1
286,Male,59,110,43
287,Male,21,141,1
288,Male,35,99,97
289,Male,40,108,10
290,Female,49,125,6
291,Male,29,115,24
292,Male,69,16,70
293,Male,37,36,9
294,Female,64,142,33
295,Female,62,110,15
296,Female,29,137,38
297,Female,25,94,100
298,Male,39,50,8
299,Male,44,95,90
300,Female,58,63,71
301,Male,69,17,10
302,Male,58,37,18
303,Male,34,115,26
304,Female,49,123,4
305,Female,50,119,41
306,Male,48,86,72
307,Female,23,47,89
308,Female,56,140,82
309,Female,26,82,5
310,Female,59,85,4
311,Female,49,25,8
312,Male,53,34,2
313,Female,33,76,3
314,Male,29,117,30
315,Male,58,106,7
316,Female,20,89,44
317,Male,44,128,24
318,Male,44,135,7
319,Male,26,21,100
320,Female,34,18,1
321,Female,63,116,30
322,Male,22,33,64
323,Female,43,124,98
324,Female,38,36,58
325,Female,18,117,61
326,Female,18,143,70
327,Male,52,127,65
328,Male,26,149,90
329,Female,40,21,31
330,Female,55,91,62
331,Male,58,37,40
332,Male,21,104,66
333,Female,69,32,11
334,Male,36,131,52
335,Female,54,85,61
336,Female,22,80,62
337,Male,45,67,38
338,Male,63,39,94
339,Female,59,47,87
340,Female,65,53,53
341,Male,40,136,80
342,Female,55,126,91
343,Male,69,122,57
344,Female,40,147,36
345,Male,63,127,87
346,Male,35,73,54
347,Male,46,134,33
348,Female,45,91,86
349,Female,26,28,39
350,Male,56,68,80
351,Female,67,106,4
352,Male,27,141,46
353,Male,19,143,79
354,Female,30,144,17
355,Female,55,86,31
356,Male,44,65,39
357,Female,58,140,95
358,Female,37,16,99
359,Male,57,24,22
360,Male,27,132,86
361,Female,33,44,64
362,Male,32,79,67
363,Male,30,123,18
364,Female,67,58,53
365,Male,55,56,60
366,Male,37,17,90
367,Female,41,125,99
368,Female,58,42,88
369,Male,67,65,90
370,Male,24,129,36
371,Female,40,139,85
372,Female,41,27,48
373,Female,46,54,71
374,Female,22,118,69
375,Male,60,52,31
376,Female,62,119,79
377,Female,52,124,2
378,Male,18,30,18
379,Female,53,124,56
380,Male,68,69,10
381,Female,35,141,46
382,Female,23,94,66
383,Female,40,66,10
384,Male,27,63,59
385,Male,24,62,76
386,Female,61,88,22
387,Male,25,96,21
388,Male,30,52,49
389,Male,47,31,92
390,Male,35,55,3
391,Male,31,68,37
392,Male,28,54,42
393,Female,59,45,28
394,Female,55,104,69
395,Male,30,90,55
396,Female,59,49,69
397,Female,61,137,73
398,Female,50,134,88
399,Female,67,70,31
400,Male,30,131,78
401,Female,42,44,51
402,Female,41,89,27
403,Male,46,66,21
404,Male,53,69,87
405,Female,23,48,68
406,Female,35,121,4
407,Female,45,51,69
408,Female,22,49,13
409,Female,35,99,32
410,Female,54,46,69
411,Male,24,22,31
412,Female,26,37,60
413,Female,52,107,15
414,Male,29,33,18
415,Male,69,59,18
416,Male,63,50,28
417,Male,57,70,8
418,Female,61,78,28
419,Female,56,76,62
420,Female,41,73,78
421,Female,26,15,69
422,Female,29,111,18
423,Female,53,91,7
424,Male,54,19,82
425,Female,26,72,19
426,Male,56,71,80
427,Male,63,87,15
428,Female,69,148,56
429,Male,39,99,32
430,Female,34,36,43
431,Male,50,67,2
432,Female,64,71,93
433,Male,41,140,90
434,Female,32,117,21
435,Female,46,126,64
436,Female,49,65,97
437,Female,50,19,37
438,Female,46,128,15
439,Male,32,149,29
440,Male,44,78,83
441,Male,51,40,31
442,Female,21,39,39
443,Male,66,83,58
444,Female,65,22,39
445,Female,35,23,88
446,Male,38,68,15
447,Male,65,34,56
448,Female,25,126,30
449,Male,23,141,25
450,Female,37,48,60
451,Female,19,82,47
452,Female,68,87,81
453,Female,62,39,56
454,Female,39,95,93
455,Male,38,66,25
456,Male,23,91,46
457,Female,49,82,3
458,Female,23,42,22
459,Male,30,145,36
460,Male,18,95,5
461,Female,39,111,40
462,Male,41,22,71
463,Female,58,136,27
464,Male,47,104,79
465,Female,39,144,60
466,Male,61,33,63
467,Female,29,41,78
468,Male,43,30,76
469,Male,21,16,79
470,Female,36,24,47
471,Male,33,120,90
472,Female,29,31,51
473,Male,50,21,44
474,Female,38,60,27
475,Male,53,24,53
476,Female,26,30,5
477,Male,56,15,22
478,Female,59,27,39
479,Male,62,44,21
480,Female,25,86,57
481,Female,37,25,50
482,Female,27,127,40
483,Male,49,89,45
484,Female,45,62,47
485,Male,27,21,87
486,Female,25,15,24
487,Male,69,101,56
488,Female,64,46,69
489,Male,50,76,15
490,Male,64,106,34
491,Female,66,92,29
492,Male,30,91,35
493,Male,61,48,25
494,Female,52,132,53
495,Male,68,38,55
496,Male,46,42,68
497,Male,22,25,26
498,Female,20,52,47
499,Male,54,143,4
500,Female,58,135,36
501,Male,23,123,2
502,Male,65,79,47
503,Male,59,78,16
504,Female,33,23,78
505,Male,52,46,40
506,Male,35,68,20
507,Female,28,139,19
508,Male,68,40,53
509,Female,40,76,20
510,Female,64,123,92
511,Male,28,148,5
512,Female,46,132,54
513,Male,59,44,50
514,Female,44,117,46
515,Female,26,39,37
516,Male,52,31,57
517,Female,26,122,15
518,Female,35,41,19
519,Female,61,148,100
520,Female,38,93,90
521,Female,65,51,55
522,Male,53,126,56
523,Female,18,120,64
524,Male,44,134,30
525,Female,62,73,76
526,Male,57,24,83
527,Male,55,15,47
528,Female,46,66,9
529,Female,57,101,36
530,Female,36,19,5
531,Male,41,142,29
532,Female,61,116,96
533,Male,18,132,67
534,Male,53,131,25
535,Male,40,117,98
536,Female,30,107,61
537,Female,47,62,95
538,Male,66,47,85
539,Male,68,117,47
540,Female,68,39,60
541,Male,54,58,10
542,Female,28,105,34
543,Male,24,135,93
544,Female,52,125,85
545,Male,28,80,41
546,Female,66,142,13
547,Male,60,37,96
548,Female,64,114,26
549,Female,68,101,18
550,Male,57,134,39
551,Male,65,135,57
552,Female,38,42,90
553,Male,64,22,24
554,Female,20,126,31
555,Male,47,29,47
556,Female,41,51,55
557,Female,55,121,16
558,Female,20,134,29
559,Female,54,99,12
560,Female,50,132,5
561,Female,39,106,55
562,Male,48,50,74
563,Male,63,94,51
564,Male,29,26,76
565,Female,62,42,28
566,Female,31,47,1
567,Female,29,89,46
568,Female,44,93,42
569,Male,30,93,90
570,Male,41,64,98
571,Female,55,43,85
572,Male,64,72,57
573,Male,65,40,49
574,Female,26,37,82
575,Male,25,31,93
576,Female,54,147,74
577,Male,32,73,29
578,Female,24,117,54
579,Female,41,108,35
580,Female,66,19,41
581,Female,33,40,20
582,Male,41,126,9
583,Female,60,140,75
584,Female,24,100,75
585,Female,60,123,56
586,Male,45,16,70
587,Female,19,58,94
588,Male,51,120,22
589,Female,55,123,4
590,Male,20,58,5
591,Male,18,63,6
592,Female,48,105,52
593,Male,40,95,33
594,Female,37,148,70
595,Female,33,96,80
596,Female,63,57,3
597,Male,49,58,55
598,Male,34,80,80
599,Female,35,59,13
600,Female,21,33,31
601,Male,52,18,76
602,Female,57,111,23
603,Female,53,112,58
604,Female,40,110,8
605,Male,32,115,66
606,Male,30,62,7
